start,end,score,VarName4
00:14:53,00:14:57,0.863,LNT
00:14:59,00:15:03,0.902,LNT
00:15:04,00:15:08,0.914,LNT
00:15:10,00:15:14,0.598,LNT
00:15:16,00:15:20,0.977,LNT
00:15:21,00:15:25,0.941,LNT
00:15:27,00:15:31,0.945,LNT
00:15:32,00:15:36,0.977,LNT
00:15:38,00:15:42,0.988,LNT
00:15:44,00:15:48,0.977,LNT
00:15:49,00:15:53,0.992,LNT
00:15:55,00:15:59,0.996,LNT
00:16:01,00:16:05,0.988,LNT
00:16:06,00:16:10,0.988,LNT
00:16:12,00:16:16,0.945,LNT
00:16:17,00:16:22,0.809,Noise
00:16:23,00:16:27,0.914,Noise
00:16:29,00:16:33,0.891,Noise
00:16:34,00:16:38,0.809,Noise
00:16:40,00:16:44,0.809,Noise
00:16:46,00:16:50,0.891,Noise
00:16:51,00:16:55,0.953,Noise
00:16:57,00:17:01,0.863,Noise
00:17:03,00:17:07,0.902,Noise
00:17:08,00:17:12,0.688,Noise
00:17:14,00:17:18,0.828,Noise
00:17:19,00:17:23,0.766,Noise
00:17:25,00:17:29,0.828,Noise
00:17:31,00:17:35,0.766,Noise
00:17:36,00:17:40,0.848,Noise
00:17:42,00:17:46,0.809,Noise
00:17:48,00:17:52,0.828,Noise
00:17:53,00:17:57,0.914,Noise
00:17:59,00:18:03,0.934,Noise
00:18:04,00:18:09,0.922,Noise
00:18:10,00:18:14,0.809,Noise
00:18:16,00:18:20,0.969,LNT
00:18:21,00:18:25,0.992,LNT
00:18:27,00:18:31,0.992,LNT
00:18:33,00:18:37,0.988,LNT
00:18:38,00:18:42,0.992,LNT
00:18:44,00:18:48,0.984,LNT
00:18:50,00:18:54,0.996,LNT
00:18:55,00:18:59,0.992,LNT
00:19:01,00:19:05,0.98,LNT
00:19:06,00:19:10,0.984,LNT
00:19:12,00:19:16,0.965,LNT
00:19:18,00:19:22,0.992,LNT
00:19:23,00:19:27,0.969,LNT
00:19:29,00:19:33,0.992,LNT
00:19:35,00:19:39,0.992,LNT
00:19:40,00:19:44,0.984,LNT
00:19:46,00:19:50,0.969,LNT
00:19:51,00:19:56,0.996,LNT
00:19:57,00:20:01,0.98,LNT
00:20:03,00:20:07,0.996,LNT
00:20:08,00:20:12,0.984,LNT
00:20:14,00:20:18,0.043,LNT
00:20:20,00:20:24,0.004,Noise
00:20:25,00:20:29,0.004,Noise
00:20:31,00:20:35,0.004,Noise
00:20:37,00:20:41,0.004,Noise
00:20:42,00:20:46,0.004,Noise
00:20:48,00:20:52,0.004,Noise
00:20:53,00:20:57,0.004,Noise
00:20:59,00:21:03,0.004,Noise
00:21:05,00:21:09,0.004,Noise
00:21:10,00:21:14,0.004,Noise
00:21:16,00:21:20,0.566,Noise
00:21:22,00:21:26,0.109,Noise
00:21:27,00:21:31,0.047,Noise
00:21:33,00:21:37,0.078,Noise
00:21:38,00:21:43,0,Noise
00:21:44,00:21:48,0.043,Noise
00:21:50,00:21:54,0.078,Noise
00:21:55,00:21:59,0.211,Noise
00:22:01,00:22:05,0.109,Noise
00:22:07,00:22:11,0.047,Noise
00:22:12,00:22:16,0.016,Noise
00:22:18,00:22:22,0.004,Noise
00:22:24,00:22:28,0.004,Noise
00:22:29,00:22:33,0.004,Noise
00:22:35,00:22:39,0.004,Noise
00:22:40,00:22:44,0.004,Noise
00:22:46,00:22:50,0.004,Noise
00:22:52,00:22:56,0.004,Noise
00:22:57,00:23:01,0.004,Noise
00:23:03,00:23:07,0.004,Noise
00:23:09,00:23:13,0.004,Noise
00:23:14,00:23:18,0.004,Noise
00:23:20,00:23:24,0.004,Noise
00:23:25,00:23:30,0.004,Noise
00:23:31,00:23:35,0.004,Noise
00:23:37,00:23:41,0.004,Noise
00:23:42,00:23:46,0.004,Noise
00:23:48,00:23:52,0.004,Noise
00:23:54,00:23:58,0.004,Noise
00:23:59,00:24:03,0.004,Noise
00:24:05,00:24:09,0.004,Noise
00:24:11,00:24:15,0.004,Noise
00:24:16,00:24:20,0.996,LNT
00:24:22,00:24:26,0.914,LNT
00:24:27,00:24:32,0.996,LNT
00:24:33,00:24:37,0.992,LNT
00:24:39,00:24:43,0.996,LNT
00:24:44,00:24:48,0.992,LNT
00:24:50,00:24:54,0.992,LNT
00:24:56,00:25:00,0.996,LNT
00:25:01,00:25:05,0.996,LNT
00:25:07,00:25:11,0.996,LNT
00:25:12,00:25:17,0.984,LNT
00:25:18,00:25:22,0,LNT
00:25:24,00:25:28,0.891,LNT
00:25:29,00:25:33,0.965,LNT
00:25:35,00:25:39,0.969,LNT
00:25:41,00:25:45,0.047,LNT
00:25:46,00:25:50,0.879,LNT
00:25:52,00:25:56,0.996,LNT
00:25:58,00:26:02,0.996,LNT
00:26:03,00:26:07,0.969,LNT
00:26:09,00:26:13,0.973,LNT
00:26:14,00:26:19,0.715,LNT
00:26:20,00:26:24,0.566,MNT
00:26:26,00:26:30,0.688,MNT
00:26:31,00:26:35,0.863,MNT
00:26:37,00:26:41,0.656,MNT
00:26:43,00:26:47,0.828,MNT
00:26:48,00:26:52,0.934,MNT
00:26:54,00:26:58,0.715,MNT
00:27:00,00:27:04,0.828,MNT
00:27:05,00:27:09,0.656,MNT
00:27:11,00:27:15,0.715,MNT
00:27:16,00:27:20,0.312,MNT
00:27:22,00:27:26,0.258,MNT
00:27:28,00:27:32,0.879,MNT
00:27:33,00:27:37,0.969,MNT
00:27:39,00:27:43,0.629,MNT
00:27:45,00:27:49,0.715,MNT
00:27:50,00:27:54,0.766,MNT
00:27:56,00:28:00,0.742,MNT
00:28:01,00:28:06,0.469,MNT
00:28:07,00:28:11,0.828,MNT
00:28:13,00:28:17,0.469,MNT
00:28:18,00:28:22,0.715,MNT
00:28:24,00:28:28,0.766,MNT
00:28:30,00:28:34,0.172,MNT
00:28:35,00:28:39,0.742,MNT
00:28:41,00:28:45,0.742,MNT
00:28:47,00:28:51,0.191,MNT
00:28:52,00:28:56,0.914,MNT
00:28:58,00:29:02,0.402,MNT
00:29:03,00:29:07,0.715,MNT
