Timestamp;F_Score;Photo ID;Expected_outcome;;
12:49;0.117;346;Noise;;
12:53;0.129;347;Noise;;
12:57;0.090;348;Noise;;
13:01;0.117;349;Noise;;
13:05;0.117;350;Noise;;
13:08;0.094;351;Noise;;
13:12;0.082;352;Noise;;
13:16;0.141;353;Noise;;
13:21;0.117;354;Noise;;
13:25;0.141;355;Noise;;
13:28;0.191;356;Noise;;
13:32;0.129;357;Noise;;
13:36;0.105;358;Noise;;
13:39;0.176;359;Noise;;
13:44;0.199;360;Noise;;
13:48;0.688;361;Noise;;
13:52;0.762;362;Noise;;
13:55;0.656;363;Noise;;
13:59;0.746;364;Noise;;
14:03;0.688;365;Noise;;
14:06;0.613;366;Noise;;
14:10;0.727;367;Noise;;
14:14;0.719;368;Noise;;
14:17;0.859;369;LNT;;
14:21;0.883;370;LNT;;
14:25;0.898;371;LNT;;
14:28;0.906;372;LNT;;
14:33;0.891;373;LNT;;
14:37;0.875;374;LNT;;
14:41;0.891;375;LNT;;
14:44;0.848;376;LNT;;
14:48;0.996;377;LNT;;
14:52;0.996;378;LNT;;
14:55;0.996;379;LNT;;
15:00;0.996;380;LNT;;
15:04;0.996;381;LNT;;
15:08;0.996;382;LNT;;
15:11;0.996;383;LNT;;
15:15;0.996;384;LNT;;
15:18;0.988;385;LNT;;
15:22;0.988;386;LNT;;
15:26;0.977;387;LNT;;
15:29;0.984;388;LNT;;
15:33;0.984;389;LNT;;
15:39;0.988;390;LNT;;
15:42;0.988;391;LNT;;
15:46;0.996;392;LNT;;
15:50;0.996;393;LNT;;
15:53;0.996;394;LNT;;
15:57;0.996;395;LNT;;
16:01;0.996;396;LNT;;
16:06;0.996;397;LNT;;
16:10;0.996;398;LNT;;
16:14;0.996;399;LNT;;
16:17;0.734;400;Noise;;
16:21;0.770;401;Noise;;
16:25;0.582;402;Noise;;
16:30;0.746;403;Noise;;
16:33;0.648;404;Noise;;
16:37;0.746;405;Noise;;
16:41;0.648;406;Noise;;
16:45;0.625;407;Noise;;
16:49;0.105;408;Noise;;
16:53;0.117;409;Noise;;
16:57;0.098;410;Noise;;
17:01;0.086;411;Noise;;
17:04;0.117;412;Noise;;
