start,end,score
00:00:00,00:00:02,0.152,Invalid
00:00:03,00:00:05,0.531,Invalid
00:00:07,00:00:09,0.434,Invalid
00:00:11,00:00:13,0.078,Invalid
00:00:14,00:00:16,0.02,Invalid
00:00:18,00:00:20,0.043,Noise
00:00:21,00:00:23,0.031,Noise
00:00:25,00:00:27,0.012,Noise
00:00:29,00:00:31,0.012,Noise
00:00:32,00:00:34,0.031,Noise
00:00:36,00:00:38,0.09,Noise
00:00:39,00:00:41,0.391,Noise
00:00:43,00:00:45,0.113,Noise
00:00:46,00:00:48,0.023,Noise
00:00:50,00:00:52,0.07,Noise
00:00:54,00:00:56,0.625,Noise
00:00:57,00:00:59,0.184,Noise
00:01:01,00:01:03,0.027,Noise
00:01:04,00:01:06,0.086,Noise
00:01:08,00:01:10,0.004,Noise
00:01:12,00:01:14,0.062,Noise
00:01:15,00:01:17,0.008,Noise
00:01:19,00:01:21,0.027,Noise
00:01:22,00:01:24,0.34,Noise
00:01:26,00:01:28,0.113,Noise
00:01:29,00:01:31,0.0,Noise
00:01:33,00:01:35,0.195,Noise
00:01:37,00:01:39,0.484,Noise
00:01:40,00:01:42,0.797,Noise
00:01:44,00:01:46,0.004,Noise
00:01:47,00:01:49,0.289,Noise
00:01:51,00:01:53,0.262,Noise
00:01:55,00:01:57,0.137,Noise
00:01:58,00:02:00,0.0,Noise
00:02:02,00:02:04,0.234,Noise
00:02:05,00:02:07,0.0,Noise
00:02:09,00:02:11,0.008,Noise
00:02:12,00:02:14,-0.004,Noise
00:02:16,00:02:18,0.969,LNT
00:02:20,00:02:22,0.844,LNT
00:02:23,00:02:25,0.969,LNT
00:02:27,00:02:29,0.824,LNT
00:02:30,00:02:32,0.137,LNT
00:02:34,00:02:36,0.48,LNT
00:02:38,00:02:40,0.781,LNT
00:02:41,00:02:43,0.484,LNT
00:02:45,00:02:47,0.848,LNT
00:02:48,00:02:50,0.98,LNT
00:02:52,00:02:54,0.969,LNT
00:02:55,00:02:57,0.996,LNT
00:02:59,00:03:01,0.996,LNT
00:03:03,00:03:05,0.988,LNT
00:03:06,00:03:08,0.145,LNT
00:03:10,00:03:12,0.004,LNT
00:03:13,00:03:15,0.969,LNT
00:03:17,00:03:19,0.414,LNT
00:03:21,00:03:23,0.895,LNT
00:03:24,00:03:26,0.066,LNT
00:03:28,00:03:30,0.176,LNT
00:03:31,00:03:33,0.699,LNT
00:03:35,00:03:37,0.891,LNT
00:03:39,00:03:40,0.395,LNT
00:03:42,00:03:44,0.992,LNT
00:03:46,00:03:48,0.992,LNT
00:03:49,00:03:51,0.953,LNT
00:03:53,00:03:55,0.773,LNT
00:03:56,00:03:58,0.781,LNT
00:04:00,00:04:02,0.871,LNT
00:04:04,00:04:06,0.125,LNT
00:04:07,00:04:09,0.996,LNT
00:04:11,00:04:13,0.992,LNT
00:04:14,00:04:16,0.988,LNT
00:04:18,00:04:20,0.426,Noise
00:04:22,00:04:23,0.918,Noise
00:04:25,00:04:27,0.473,Noise
00:04:29,00:04:31,0.668,Noise
00:04:32,00:04:34,0.289,Noise
00:04:36,00:04:38,0.895,Noise
00:04:39,00:04:41,0.215,Noise
00:04:43,00:04:45,0.668,Noise
00:04:47,00:04:49,0.156,Noise
00:04:50,00:04:52,0.199,Noise
00:04:54,00:04:56,0.215,Noise
00:04:57,00:04:59,0.301,Noise
00:05:01,00:05:03,0.562,Noise
00:05:05,00:05:06,0.992,Noise
00:05:08,00:05:10,0.117,Noise
00:05:12,00:05:14,0.16,Noise
00:05:15,00:05:17,0.188,Noise
00:05:19,00:05:21,0.754,Noise
00:05:22,00:05:24,0.613,Noise
00:05:26,00:05:28,0.93,Noise
00:05:30,00:05:32,0.699,Noise
00:05:33,00:05:35,0.438,Noise
00:05:37,00:05:39,0.68,Noise
00:05:40,00:05:42,0.82,Noise
00:05:44,00:05:46,0.234,Noise
00:05:48,00:05:49,0.887,Noise
00:05:51,00:05:53,0.371,Noise
00:05:55,00:05:57,0.059,Noise
00:05:58,00:06:00,0.055,Noise
00:06:02,00:06:04,0.184,Noise
00:06:05,00:06:07,0.023,Noise
00:06:09,00:06:11,0.215,Noise
00:06:13,00:06:15,0.551,Noise
00:06:16,00:06:18,0.996,LNT
00:06:20,00:06:22,0.996,LNT
00:06:23,00:06:25,0.996,LNT
00:06:27,00:06:29,0.996,LNT
00:06:31,00:06:32,0.996,LNT
00:06:34,00:06:36,0.996,LNT
00:06:38,00:06:40,0.996,LNT
00:06:41,00:06:43,0.996,LNT
00:06:45,00:06:47,0.996,LNT
00:06:48,00:06:50,0.996,LNT
00:06:52,00:06:54,0.996,LNT
00:06:56,00:06:58,0.996,LNT
00:06:59,00:07:01,0.996,LNT
00:07:03,00:07:05,0.996,LNT
00:07:06,00:07:08,0.996,LNT
00:07:10,00:07:12,0.996,LNT
00:07:14,00:07:16,0.996,LNT
00:07:17,00:07:19,0.996,LNT
00:07:21,00:07:23,0.996,LNT
00:07:24,00:07:26,0.996,LNT
00:07:28,00:07:30,0.996,LNT
00:07:31,00:07:33,0.996,LNT
00:07:35,00:07:37,0.996,LNT
00:07:39,00:07:41,0.996,LNT
00:07:42,00:07:44,0.996,LNT
00:07:46,00:07:48,0.996,LNT
00:07:49,00:07:51,0.996,LNT
00:07:53,00:07:55,0.996,LNT
00:07:57,00:07:59,0.996,LNT
00:08:00,00:08:02,0.996,LNT
00:08:04,00:08:06,0.996,LNT
00:08:07,00:08:09,0.996,LNT
00:08:11,00:08:13,0.996,LNT
00:08:14,00:08:16,0.605,LNT
00:08:18,00:08:20,0.0,Noise
00:08:22,00:08:24,0.0,Noise
00:08:25,00:08:27,0.0,Noise
00:08:29,00:08:31,0.0,Noise
00:08:32,00:08:34,0.0,Noise
00:08:36,00:08:38,0.008,Noise
00:08:40,00:08:42,0.004,Noise
00:08:43,00:08:45,0.004,Noise
00:08:47,00:08:49,0.004,Noise
00:08:50,00:08:52,0.0,Noise
00:08:54,00:08:56,0.004,Noise
00:08:57,00:08:59,0.0,Noise
00:09:01,00:09:03,0.004,Noise
00:09:05,00:09:07,0.0,Noise
00:09:08,00:09:10,0.0,Noise
00:09:12,00:09:14,0.004,Noise
00:09:15,00:09:17,0.0,Noise
00:09:19,00:09:21,0.004,Noise
00:09:23,00:09:25,0.0,Noise
00:09:26,00:09:28,0.004,Noise
00:09:30,00:09:32,0.0,Noise
00:09:33,00:09:35,0.004,Noise
00:09:37,00:09:39,0.0,Noise
00:09:40,00:09:42,0.004,Noise
00:09:44,00:09:46,0.0,Noise
00:09:48,00:09:50,0.008,Noise
00:09:51,00:09:53,0.0,Noise
00:09:55,00:09:57,0.004,Noise
00:09:58,00:10:00,0.004,Noise
00:10:02,00:10:04,0.008,Noise
00:10:06,00:10:08,0.004,Noise
00:10:09,00:10:11,0.0,Noise
00:10:13,00:10:15,0.004,Noise
00:10:16,00:10:18,0.004,Noise
00:10:20,00:10:22,0.0,Noise
00:10:24,00:10:25,0.0,Noise
00:10:27,00:10:29,0.004,Noise
00:10:31,00:10:33,0.0,Noise
00:10:34,00:10:36,0.0,Noise
00:10:38,00:10:40,0.0,Noise
00:10:41,00:10:43,0.0,Noise
00:10:45,00:10:47,0.004,Noise
00:10:49,00:10:51,0.0,Noise
00:10:52,00:10:54,0.0,Noise
00:10:56,00:10:58,0.0,Noise
00:10:59,00:11:01,0.0,Noise
00:11:03,00:11:05,0.0,Noise
00:11:07,00:11:08,0.0,Noise
00:11:10,00:11:12,0.0,Noise
00:11:14,00:11:16,0.0,Noise
00:11:17,00:11:19,0.0,Noise
00:11:21,00:11:23,0.004,Noise
00:11:24,00:11:26,0.0,Noise
00:11:28,00:11:30,-0.004,Noise
00:11:32,00:11:34,0.0,Noise
00:11:35,00:11:37,0.004,Noise
00:11:39,00:11:41,0.004,Noise
00:11:42,00:11:44,0.0,Noise
00:11:46,00:11:48,0.0,Noise
00:11:50,00:11:51,0.0,Noise
00:11:53,00:11:55,0.0,Noise
00:11:57,00:11:59,0.0,Noise
00:12:00,00:12:02,0.0,Noise
00:12:04,00:12:06,0.004,Noise
00:12:07,00:12:09,0.0,Noise
00:12:11,00:12:13,0.0,Noise
00:12:15,00:12:17,0.508,Noise
00:12:18,00:12:20,0.0,Noise
00:12:22,00:12:24,0.242,Noise
00:12:25,00:12:27,0.004,Noise
00:12:29,00:12:31,0.102,Noise
00:12:33,00:12:34,0.0,Noise
00:12:36,00:12:38,0.004,Noise
00:12:40,00:12:42,0.0,Noise
00:12:43,00:12:45,0.0,Noise
00:12:47,00:12:49,0.0,Noise
00:12:50,00:12:52,0.0,Noise
00:12:54,00:12:56,0.0,Noise
00:12:58,00:13:00,0.004,Noise
00:13:01,00:13:03,0.0,Noise
00:13:05,00:13:07,0.0,Noise
00:13:08,00:13:10,0.0,Noise
00:13:12,00:13:14,0.0,Noise
00:13:16,00:13:17,0.0,Noise
00:13:19,00:13:21,0.0,Noise
00:13:23,00:13:25,0.004,Noise
00:13:26,00:13:28,0.0,Noise
00:13:30,00:13:32,0.004,Noise
00:13:33,00:13:35,0.0,Noise
00:13:37,00:13:39,0.004,Noise
00:13:41,00:13:43,-0.004,Noise
00:13:44,00:13:46,0.043,Noise
00:13:48,00:13:50,0.0,Noise
00:13:51,00:13:53,0.0,Noise
00:13:55,00:13:57,0.0,Noise
00:13:59,00:14:01,0.004,Noise
00:14:02,00:14:04,0.0,Noise
00:14:06,00:14:08,0.0,Noise
00:14:09,00:14:11,0.0,Noise
00:14:13,00:14:15,0.004,Noise
00:14:16,00:14:18,0.844,LNT
00:14:20,00:14:22,0.848,LNT
00:14:24,00:14:26,0.438,LNT
00:14:27,00:14:29,0.285,LNT
00:14:31,00:14:33,0.102,LNT
00:14:34,00:14:36,0.004,LNT
00:14:38,00:14:40,0.703,LNT
00:14:42,00:14:44,0.328,LNT
00:14:45,00:14:47,0.148,LNT
00:14:49,00:14:51,0.84,LNT
00:14:52,00:14:54,0.07,LNT
00:14:56,00:14:58,0.559,LNT
00:14:59,00:15:01,0.691,LNT
00:15:03,00:15:05,0.289,LNT
00:15:07,00:15:09,0.602,LNT
00:15:10,00:15:12,0.719,LNT
00:15:14,00:15:16,0.184,LNT
00:15:17,00:15:19,0.895,LNT
00:15:21,00:15:23,0.141,LNT
00:15:25,00:15:27,0.098,LNT
00:15:28,00:15:30,0.047,LNT
00:15:32,00:15:34,0.68,LNT
00:15:35,00:15:37,0.035,LNT
00:15:39,00:15:41,0.898,LNT
00:15:42,00:15:44,0.07,LNT
00:15:46,00:15:48,0.797,LNT
00:15:50,00:15:52,0.391,LNT
