start,end,score
00:08:09,00:08:11,0.977,LNT
00:08:13,00:08:15,0.988,LNT
00:08:16,00:08:18,0.102,Noise
00:08:19,00:08:21,0.094,Noise
00:08:22,00:08:24,0.094,Noise
00:08:25,00:08:27,0.328,Noise
00:08:28,00:08:30,0.211,Noise
00:08:31,00:08:33,0.531,Noise
00:08:34,00:08:36,0.41,Noise
00:08:37,00:08:39,0.301,Noise
00:08:40,00:08:42,0.094,Noise
00:08:43,00:08:45,0.043,Noise
00:08:46,00:08:48,0.055,Noise
00:08:49,00:08:51,0.074,Noise
00:08:52,00:08:55,0.004,Noise
00:08:56,00:08:58,0.016,Noise
00:08:59,00:09:01,0.02,Noise
00:09:02,00:09:04,0.008,Noise
00:09:05,00:09:07,0.012,Noise
00:09:08,00:09:10,0.023,Noise
00:09:11,00:09:13,0.004,Noise
00:09:14,00:09:16,0.004,Noise
00:09:17,00:09:19,0.004,Noise
00:09:20,00:09:22,0.004,Noise
00:09:23,00:09:25,0.004,Noise
00:09:26,00:09:28,0.004,Noise
00:09:29,00:09:31,0.004,Noise
00:09:32,00:09:34,0.004,Noise
00:09:36,00:09:38,0.004,Noise
00:09:39,00:09:41,0.004,Noise
00:09:42,00:09:44,0.004,Noise
00:09:45,00:09:47,0.004,Noise
00:09:48,00:09:50,0.004,Noise
00:09:51,00:09:53,0.004,Noise
00:09:54,00:09:56,0.004,Noise
00:09:57,00:09:59,0.004,Noise
00:10:00,00:10:02,0.004,Noise
00:10:03,00:10:05,0.004,Noise
00:10:06,00:10:08,0.004,Noise
00:10:09,00:10:11,0.004,Noise
00:10:12,00:10:14,0.004,Noise
00:10:15,00:10:17,0.016,Noise
00:10:19,00:10:21,0.055,Noise
00:10:22,00:10:24,0.027,Noise
00:10:25,00:10:27,0.035,Noise
00:10:28,00:10:30,0.141,Noise
00:10:31,00:10:33,0.008,Noise
00:10:34,00:10:36,0.055,Noise
00:10:37,00:10:39,0.094,Noise
00:10:40,00:10:42,0.031,Noise
00:10:43,00:10:45,0.008,Noise
00:10:46,00:10:48,0.031,Noise
00:10:49,00:10:51,0.012,Noise
00:10:52,00:10:54,0.055,Noise
00:10:55,00:10:57,0.047,Noise
00:10:58,00:11:00,0.039,Noise
00:11:02,00:11:04,0.039,Noise
00:11:05,00:11:07,0.066,Noise
00:11:08,00:11:10,0.066,Noise
00:11:11,00:11:13,0.027,Noise
00:11:14,00:11:16,0.027,Noise
00:11:17,00:11:19,0.055,Noise
00:11:20,00:11:22,0.004,Noise
00:11:23,00:11:25,0.016,Noise
00:11:26,00:11:28,0.094,Noise
00:11:29,00:11:31,0.066,Noise
00:11:32,00:11:34,0.043,Noise
00:11:35,00:11:37,0.066,Noise
00:11:38,00:11:40,0.039,Noise
00:11:41,00:11:43,0.113,Noise
00:11:45,00:11:47,0.082,Noise
00:11:48,00:11:50,0.043,Noise
00:11:51,00:11:53,0.059,Noise
00:11:54,00:11:56,0.094,Noise
00:11:57,00:11:59,0.031,Noise
00:12:00,00:12:02,0.031,Noise
00:12:03,00:12:05,0.047,Noise
00:12:06,00:12:08,0.074,Noise
00:12:09,00:12:11,0.012,Noise
00:12:12,00:12:14,0.047,Noise
00:12:15,00:12:17,0.004,Noise
00:12:18,00:12:20,0.004,Noise
00:12:21,00:12:23,0.004,Noise
00:12:24,00:12:26,0.004,Noise
00:12:28,00:12:30,0.004,Noise
00:12:31,00:12:33,0.004,Noise
00:12:34,00:12:36,0.004,Noise
00:12:37,00:12:39,0.004,Noise
00:12:40,00:12:42,0.004,Noise
00:12:43,00:12:45,0.004,Noise
00:12:46,00:12:48,0.004,Noise
00:12:49,00:12:51,0.004,Noise
00:12:52,00:12:54,0.004,Noise
00:12:55,00:12:57,0.004,Noise
00:12:58,00:13:00,0.004,Noise
00:13:01,00:13:03,0.004,Noise
00:13:04,00:13:06,0.004,Noise
00:13:07,00:13:09,0.004,Noise
00:13:11,00:13:13,0.004,Noise
00:13:14,00:13:16,0.004,Noise
00:13:17,00:13:19,0.004,Noise
00:13:20,00:13:22,0.004,Noise
00:13:23,00:13:25,0.004,Noise
