start,end,score
00:27:52,00:00:03,0.336,Invalid
00:00:05,00:00:09,0.031,Invalid
00:00:10,00:00:14,0.004,Invalid
00:00:16,00:00:20,0.027,Noise
00:00:22,00:00:26,0.004,Noise
00:00:27,00:00:31,0.129,Noise
00:00:33,00:00:37,0.465,Noise
00:00:38,00:00:42,0.121,Noise
00:00:44,00:00:48,0.062,Noise
00:00:50,00:00:54,0.273,Noise
00:00:55,00:00:59,0.137,Noise
00:01:01,00:01:05,0.008,Noise
00:01:07,00:01:11,0.004,Noise
00:01:12,00:01:16,0.004,Noise
00:01:18,00:01:22,0.004,Noise
00:01:23,00:01:28,0.309,Noise
00:01:29,00:01:33,0.016,Noise
00:01:35,00:01:39,0.078,Noise
00:01:40,00:01:44,0.004,Noise
00:01:46,00:01:50,0.012,Noise
00:01:52,00:01:56,0.066,Noise
00:01:57,00:02:01,0.004,Noise
00:02:03,00:02:07,0.008,Noise
00:02:09,00:02:13,0.004,Noise
00:02:14,00:02:18,0.379,Noise
00:02:20,00:02:24,0.172,LNT
00:02:25,00:02:29,0.875,LNT
00:02:31,00:02:35,0.68,LNT
00:02:37,00:02:41,0.336,LNT
00:02:42,00:02:46,0.68,LNT
00:02:48,00:02:52,0.965,LNT
00:02:54,00:02:58,0.918,LNT
00:02:59,00:03:03,0.566,LNT
00:03:05,00:03:09,0.496,LNT
00:03:10,00:03:15,0.918,LNT
00:03:16,00:03:20,0.145,LNT
00:03:22,00:03:26,0.582,LNT
00:03:27,00:03:31,0.613,LNT
00:03:33,00:03:37,0.914,LNT
00:03:39,00:03:43,0.305,LNT
00:03:44,00:03:48,0,LNT
00:03:50,00:03:54,0.863,LNT
00:03:56,00:04:00,0.41,LNT
00:04:01,00:04:05,0.539,LNT
00:04:07,00:04:11,0.996,LNT
00:04:12,00:04:16,0.98,LNT
00:04:18,00:04:22,0.883,Noise
00:04:24,00:04:28,0.906,Noise
00:04:29,00:04:33,0.902,Noise
00:04:35,00:04:39,0.957,Noise
00:04:41,00:04:45,0.914,Noise
00:04:46,00:04:50,0.988,Noise
00:04:52,00:04:56,0.621,Noise
00:04:57,00:05:02,0.91,Noise
00:05:03,00:05:07,0.996,Noise
00:05:09,00:05:13,0.992,Noise
00:05:14,00:05:18,0.797,Noise
00:05:20,00:05:24,0.977,Noise
00:05:26,00:05:30,0.973,Noise
00:05:31,00:05:35,0.992,Noise
00:05:37,00:05:41,0.992,Noise
00:05:43,00:05:47,0.949,Noise
00:05:48,00:05:52,0.953,Noise
00:05:54,00:05:58,0.824,Noise
00:05:59,00:06:03,0.586,Noise
00:06:05,00:06:09,0.273,Noise
00:06:11,00:06:15,0.945,Noise
00:06:16,00:06:20,0.996,LNT
00:06:22,00:06:26,0.984,LNT
00:06:28,00:06:32,0.977,LNT
00:06:33,00:06:37,0.922,LNT
00:06:39,00:06:43,0.992,LNT
00:06:44,00:06:49,0.996,LNT
00:06:50,00:06:54,0.988,LNT
00:06:56,00:07:00,0.977,LNT
00:07:01,00:07:05,0.922,LNT
00:07:07,00:07:11,0.977,LNT
00:07:13,00:07:17,0.996,LNT
00:07:18,00:07:22,0.918,LNT
00:07:24,00:07:28,0.992,LNT
00:07:30,00:07:34,0.984,LNT
00:07:35,00:07:39,0.965,LNT
00:07:41,00:07:45,0.977,LNT
00:07:46,00:07:50,0.277,LNT
00:07:52,00:07:56,0.984,LNT
00:07:58,00:08:02,0.98,LNT
00:08:03,00:08:07,0.98,LNT
00:08:09,00:08:13,0.996,LNT
00:08:15,00:08:19,0.004,Noise
00:08:20,00:08:24,0.02,Noise
00:08:26,00:08:30,0.0,Noise
00:08:31,00:08:36,0.0,Noise
00:08:37,00:08:41,0.008,Noise
00:08:43,00:08:47,0.004,Noise
00:08:48,00:08:52,0.0,Noise
00:08:54,00:08:58,0.004,Noise
00:09:00,00:09:04,0.0,Noise
00:09:05,00:09:09,0.0,Noise
00:09:11,00:09:15,0.0,Noise
00:09:17,00:09:21,0.0,Noise
00:09:22,00:09:26,0.0,Noise
00:09:28,00:09:32,0.0,Noise
00:09:33,00:09:38,0.0,Noise
00:09:39,00:09:43,0.0,Noise
00:09:45,00:09:49,0.0,Noise
00:09:50,00:09:54,0.0,Noise
00:09:56,00:10:00,0.0,Noise
00:10:02,00:10:06,0.0,Noise
00:10:07,00:10:11,0.0,Noise
00:10:13,00:10:17,0.0,Noise
00:10:19,00:10:23,0.0,Noise
00:10:24,00:10:28,0.004,Noise
00:10:30,00:10:34,0.0,Noise
00:10:35,00:10:39,0.0,Noise
00:10:41,00:10:45,0.0,Noise
