start,end,score
00:09:29,00:09:31,0.004,Noise
00:09:32,00:09:34,0.004,Noise
00:09:36,00:09:38,0.004,Noise
00:09:40,00:09:42,0.004,Noise
00:09:43,00:09:45,0.004,Noise
00:09:47,00:09:49,0.004,Noise
00:09:50,00:09:52,0.004,Noise
00:09:54,00:09:56,0.004,Noise
00:09:58,00:09:59,0.004,Noise
00:10:01,00:10:03,0.004,Noise
00:10:05,00:10:07,0.004,Noise
00:10:08,00:10:10,0.004,Noise
00:10:12,00:10:14,0.004,Noise
00:10:15,00:10:17,0.004,Noise
00:10:19,00:10:21,0.004,Noise
00:10:23,00:10:25,0.004,Noise
00:10:26,00:10:28,0.004,Noise
00:10:30,00:10:32,0.004,Noise
00:10:33,00:10:35,0.004,Noise
00:10:37,00:10:39,0.004,Noise
00:10:41,00:10:42,0.004,Noise
00:10:44,00:10:46,0.004,Noise
00:10:48,00:10:50,0.004,Noise
00:10:51,00:10:53,0.004,Noise
00:10:55,00:10:57,0.004,Noise
00:10:58,00:11:00,0.004,Noise
00:11:02,00:11:04,0.004,Noise
00:11:06,00:11:08,0.004,Noise
00:11:09,00:11:11,0.004,Noise
00:11:13,00:11:15,0.004,Noise
00:11:16,00:11:18,0.004,Noise
00:11:20,00:11:22,0.004,Noise
00:11:24,00:11:26,0.004,Noise
00:11:27,00:11:29,0.004,Noise
00:11:31,00:11:33,0.004,Noise
00:11:34,00:11:36,0.004,Noise
00:11:38,00:11:40,0.008,Noise
00:11:41,00:11:43,0.004,Noise
00:11:45,00:11:47,0.004,Noise
00:11:49,00:11:51,0.004,Noise
00:11:52,00:11:54,0.004,Noise
00:11:56,00:11:58,0.004,Noise
00:11:59,00:12:01,0.012,Noise
00:12:03,00:12:05,0.004,Noise
00:12:07,00:12:09,0.004,Noise
00:12:10,00:12:12,0.004,Noise
00:12:14,00:12:16,0.02,Noise
00:12:17,00:12:19,0.004,Noise
00:12:21,00:12:23,0.004,Noise
00:12:24,00:12:26,0.004,Noise
00:12:28,00:12:30,0.074,Noise
00:12:32,00:12:34,0.008,Noise
00:12:35,00:12:37,0.004,Noise
00:12:39,00:12:41,0.004,Noise
00:12:42,00:12:44,0.004,Noise
00:12:46,00:12:48,0.004,Noise
00:12:50,00:12:52,0.004,Noise
00:12:53,00:12:55,0.004,Noise
00:12:57,00:12:59,0.004,Noise
00:13:00,00:13:02,0.004,Noise
00:13:04,00:13:06,0.004,Noise
00:13:07,00:13:09,0.004,Noise
00:13:11,00:13:13,0.004,Noise
00:13:15,00:13:17,0.004,Noise
00:13:18,00:13:20,0.004,Noise
00:13:22,00:13:24,0.137,Noise
00:13:25,00:13:27,0.336,Noise
00:13:29,00:13:31,0.004,Noise
00:13:33,00:13:35,0.004,Noise
00:13:36,00:13:38,0.004,Noise
00:13:40,00:13:42,0.004,Noise
00:13:43,00:13:45,0.004,Noise
00:13:47,00:13:49,0.004,Noise
00:13:50,00:13:52,0.004,Noise
00:13:54,00:13:56,0.004,Noise
00:13:58,00:14:00,0.004,Noise
00:14:01,00:14:03,0.004,Noise
00:14:05,00:14:07,0.004,Noise
00:14:08,00:14:10,0.004,Noise
00:14:12,00:14:14,0.004,Noise
00:14:16,00:14:18,0.996,LNT
00:14:19,00:14:21,0.988,LNT
00:14:23,00:14:25,0.988,LNT
00:14:26,00:14:28,0.996,LNT
00:14:30,00:14:32,0.996,LNT
00:14:33,00:14:35,0.996,LNT
00:14:37,00:14:39,0.953,LNT
00:14:41,00:14:43,0.285,LNT
00:14:44,00:14:46,0.953,LNT
00:14:48,00:14:50,0.996,LNT
00:14:51,00:14:53,0.926,LNT
00:14:55,00:14:57,0.91,LNT
00:14:59,00:15:01,0.887,LNT
00:15:02,00:15:04,0.863,LNT
00:15:06,00:15:08,0.996,LNT
00:15:09,00:15:11,0.012,LNT
00:15:13,00:15:15,0.996,LNT
00:15:17,00:15:18,0.996,LNT
00:15:20,00:15:22,0.992,LNT
00:15:24,00:15:26,0.996,LNT
00:15:27,00:15:29,0.996,LNT
00:15:31,00:15:33,0.996,LNT
00:15:34,00:15:36,0.961,LNT
00:15:38,00:15:40,0.984,LNT
00:15:42,00:15:44,0,LNT
00:15:45,00:15:47,0.992,LNT
00:15:49,00:15:51,0.969,LNT
00:15:52,00:15:54,0.996,LNT
00:15:56,00:15:58,0.996,LNT
00:16:00,00:16:01,0.953,LNT
00:16:03,00:16:05,0.715,LNT
00:16:07,00:16:09,0.988,LNT
00:16:10,00:16:12,0.953,LNT
00:16:14,00:16:16,0.996,LNT
00:16:17,00:16:19,0.137,Noise
00:16:21,00:16:23,0.613,Noise
00:16:25,00:16:27,0.031,Noise
00:16:28,00:16:30,0.02,Noise
00:16:32,00:16:34,0.074,Noise
00:16:35,00:16:37,0.336,Noise
00:16:39,00:16:41,0.004,Noise
00:16:43,00:16:44,0.242,Noise
00:16:46,00:16:48,0.168,Noise
00:16:50,00:16:52,0.285,Noise
00:16:53,00:16:55,0.004,Noise
00:16:57,00:16:59,0.004,Noise
00:17:00,00:17:02,0.02,Noise
00:17:04,00:17:06,0.203,Noise
00:17:08,00:17:10,0.004,Noise
00:17:11,00:17:13,0.559,Noise
00:17:15,00:17:17,0.137,Noise
00:17:18,00:17:20,0.008,Noise
00:17:22,00:17:24,0.715,Noise
00:17:26,00:17:27,0.203,Noise
00:17:29,00:17:31,0.008,Noise
00:17:33,00:17:35,0.004,Noise
00:17:36,00:17:38,0.004,Noise
00:17:40,00:17:42,0.168,Noise
00:17:43,00:17:45,0.797,Noise
00:17:47,00:17:49,0.059,Noise
00:17:51,00:17:53,0.203,Noise
00:17:54,00:17:56,0.336,Noise
00:17:58,00:18:00,0.008,Noise
00:18:01,00:18:03,0.039,Noise
00:18:05,00:18:07,0.004,Noise
00:18:09,00:18:11,0.168,Noise
00:18:12,00:18:14,0.203,Noise
00:18:16,00:18:18,0.996,LNT
00:18:19,00:18:21,0.996,LNT
00:18:23,00:18:25,0.996,LNT
00:18:26,00:18:28,0.996,LNT
00:18:30,00:18:32,0.996,LNT
00:18:34,00:18:36,0.988,LNT
00:18:37,00:18:39,0.996,LNT
00:18:41,00:18:43,0.988,LNT
00:18:44,00:18:46,0.996,LNT
00:18:48,00:18:50,0.996,LNT
00:18:52,00:18:54,0.996,LNT
00:18:55,00:18:57,0.996,LNT
00:18:59,00:19:01,0.996,LNT
00:19:02,00:19:04,0.996,LNT
00:19:06,00:19:08,0.996,LNT
00:19:09,00:19:11,0.996,LNT
00:19:13,00:19:15,0.996,LNT
00:19:17,00:19:19,0.996,LNT
00:19:20,00:19:22,0.996,LNT
00:19:24,00:19:26,0.996,LNT
00:19:27,00:19:29,0.996,LNT
00:19:31,00:19:33,0.996,LNT
00:19:35,00:19:37,0.996,LNT
00:19:38,00:19:40,0.996,LNT
00:19:42,00:19:44,0.996,LNT
00:19:45,00:19:47,0.988,LNT
00:19:49,00:19:51,0.996,LNT
00:19:52,00:19:54,0.992,LNT
00:19:56,00:19:58,0.996,LNT
00:20:00,00:20:02,0.996,LNT
00:20:03,00:20:05,0.992,LNT
00:20:07,00:20:09,0.996,LNT
00:20:10,00:20:12,0.996,LNT
00:20:14,00:20:16,0.961,LNT
00:20:18,00:20:20,0.012,Noise
00:20:21,00:20:23,0.004,Noise
00:20:25,00:20:27,0.004,Noise
00:20:28,00:20:30,0.004,Noise
00:20:32,00:20:34,0.004,Noise
00:20:35,00:20:37,0.004,Noise
00:20:39,00:20:41,0.004,Noise
00:20:43,00:20:45,0.004,Noise
00:20:46,00:20:48,0.004,Noise
00:20:50,00:20:52,0.004,Noise
00:20:53,00:20:55,0.004,Noise
00:20:57,00:20:59,0.004,Noise
00:21:01,00:21:03,0.004,Noise
00:21:04,00:21:06,0.004,Noise
00:21:08,00:21:10,0.004,Noise
00:21:11,00:21:13,0.004,Noise
00:21:15,00:21:17,0.285,Noise
00:21:18,00:21:20,0.91,Noise
00:21:22,00:21:24,0.242,Noise
00:21:26,00:21:28,0.863,Noise
00:21:29,00:21:31,0.137,Noise
00:21:33,00:21:35,0.887,Noise
00:21:36,00:21:38,0.441,Noise
00:21:40,00:21:42,0.613,Noise
00:21:44,00:21:46,0.961,Noise
00:21:47,00:21:49,0.715,Noise
00:21:51,00:21:53,0.613,Noise
00:21:54,00:21:56,0.91,Noise
00:21:58,00:22:00,0.887,Noise
00:22:02,00:22:03,0.961,Noise
00:22:05,00:22:07,0.863,Noise
00:22:09,00:22:11,0.336,Noise
00:22:12,00:22:14,0.074,Noise
00:22:16,00:22:18,0.004,Noise
00:22:19,00:22:21,0.004,Noise
00:22:23,00:22:25,0.004,Noise
00:22:27,00:22:29,0.004,Noise
00:22:30,00:22:32,0.008,Noise
00:22:34,00:22:36,0.004,Noise
00:22:37,00:22:39,0.004,Noise
00:22:41,00:22:43,0.004,Noise
00:22:45,00:22:46,0.004,Noise
