start,end,score
00:08:50,00:08:52,0.031,Noise
00:08:53,00:08:55,0.02,Noise
00:08:56,00:08:58,0.008,Noise
00:09:00,00:09:02,0.004,Noise
00:09:03,00:09:05,0.0,Noise
00:09:06,00:09:08,0.0,Noise
00:09:10,00:09:12,0.0,Noise
00:09:13,00:09:15,0.0,Noise
00:09:16,00:09:18,0.004,Noise
00:09:20,00:09:22,0.004,Noise
00:09:23,00:09:25,0.004,Noise
00:09:26,00:09:28,0.004,Noise
00:09:30,00:09:32,0.004,Noise
00:09:33,00:09:35,0.004,Noise
00:09:36,00:09:38,0.004,Noise
00:09:40,00:09:42,0.004,Noise
00:09:43,00:09:45,0.004,Noise
00:09:46,00:09:48,0.004,Noise
00:09:50,00:09:52,0.004,Noise
00:09:53,00:09:55,0.004,Noise
00:09:56,00:09:58,0.004,Noise
00:10:00,00:10:02,0.004,Noise
00:10:03,00:10:05,0.004,Noise
00:10:06,00:10:08,0.004,Noise
00:10:10,00:10:12,0.004,Noise
00:10:13,00:10:15,0.004,Noise
00:10:16,00:10:18,0.012,Noise
00:10:20,00:10:22,0.004,Noise
00:10:23,00:10:25,0.012,Noise
00:10:26,00:10:28,0.016,Noise
00:10:30,00:10:32,0.016,Noise
00:10:33,00:10:35,0.016,Noise
00:10:36,00:10:38,0.039,Noise
00:10:40,00:10:42,0.012,Noise
00:10:43,00:10:45,0.008,Noise
00:10:46,00:10:48,0.027,Noise
00:10:50,00:10:52,0.023,Noise
00:10:53,00:10:55,0.027,Noise
00:10:56,00:10:58,0.016,Noise
00:11:00,00:11:02,0.031,Noise
00:11:03,00:11:05,0.039,Noise
00:11:06,00:11:08,0.047,Noise
00:11:10,00:11:12,0.0,Noise
00:11:13,00:11:15,0.004,Noise
00:11:16,00:11:18,0.012,Noise
00:11:20,00:11:22,0.016,Noise
00:11:23,00:11:25,0.035,Noise
00:11:26,00:11:28,0.023,Noise
00:11:30,00:11:32,0.023,Noise
00:11:33,00:11:35,0.047,Noise
00:11:36,00:11:38,0.027,Noise
00:11:39,00:11:42,0.02,Noise
00:11:43,00:11:45,0.023,Noise
00:11:46,00:11:48,0.004,Noise
00:11:49,00:11:52,0.004,Noise
00:11:53,00:11:55,0.008,Noise
00:11:56,00:11:58,0.008,Noise
00:11:59,00:12:01,0.008,Noise
00:12:03,00:12:05,0.043,Noise
00:12:06,00:12:08,0.027,Noise
00:12:09,00:12:11,0.012,Noise
00:12:13,00:12:15,0.016,Noise
00:12:16,00:12:18,0.0,Noise
00:12:19,00:12:21,0.004,Noise
00:12:23,00:12:25,0.004,Noise
00:12:26,00:12:28,0.004,Noise
00:12:29,00:12:31,0.004,Noise
00:12:33,00:12:35,0.008,Noise
00:12:36,00:12:38,0.004,Noise
00:12:39,00:12:41,0.004,Noise
00:12:43,00:12:45,0.004,Noise
00:12:46,00:12:48,0.008,Noise
00:12:49,00:12:51,0.004,Noise
00:12:53,00:12:55,0.0,Noise
00:12:56,00:12:58,0.012,Noise
00:12:59,00:13:01,0.0,Noise
00:13:03,00:13:05,0.0,Noise
00:13:06,00:13:08,0.0,Noise
00:13:09,00:13:11,-0.004,Noise
00:13:13,00:13:15,0.0,Noise
00:13:16,00:13:18,0.0,Noise
00:13:19,00:13:21,0.02,Noise
00:13:23,00:13:25,0.0,Noise
00:13:26,00:13:28,0.0,Noise
00:13:29,00:13:31,0.0,Noise
00:13:33,00:13:35,0.004,Noise
00:13:36,00:13:38,0.004,Noise
00:13:39,00:13:41,0.004,Noise
00:13:43,00:13:45,0.004,Noise
00:13:46,00:13:48,0.008,Noise
00:13:49,00:13:51,0.0,Noise
00:13:53,00:13:55,-0.004,Noise
00:13:56,00:13:58,0.0,Noise
00:13:59,00:14:01,0.004,Noise
00:14:03,00:14:05,0.004,Noise
00:14:06,00:14:08,0.0,Noise
00:14:09,00:14:11,0.004,Noise
00:14:13,00:14:15,0.004,Noise
00:14:16,00:14:18,0.031,LNT
00:14:19,00:14:21,0.562,LNT
00:14:23,00:14:25,0.02,LNT
00:14:26,00:14:28,0.02,LNT
00:14:29,00:14:31,0.152,LNT
00:14:33,00:14:35,0.062,LNT
00:14:36,00:14:38,0.098,LNT
00:14:39,00:14:41,0.039,LNT
00:14:43,00:14:45,0.098,LNT
00:14:46,00:14:48,0.227,LNT
00:14:49,00:14:51,0.152,LNT
00:14:53,00:14:55,0.062,LNT
00:14:56,00:14:58,0.188,LNT
00:14:59,00:15:01,0.039,LNT
00:15:02,00:15:05,0.039,LNT
00:15:06,00:15:08,0.227,LNT
00:15:09,00:15:11,0.078,LNT
00:15:12,00:15:15,0.078,LNT
00:15:16,00:15:18,0.621,LNT
00:15:19,00:15:21,0.078,LNT
00:15:22,00:15:25,0.324,LNT
00:15:26,00:15:28,0.121,LNT
00:15:29,00:15:31,0.188,LNT
00:15:32,00:15:34,0.012,LNT
00:15:36,00:15:38,0.039,LNT
00:15:39,00:15:41,0.062,LNT
00:15:42,00:15:44,0.152,LNT
00:15:46,00:15:48,0.023,LNT
00:15:49,00:15:51,0.098,LNT
00:15:52,00:15:54,0.324,LNT
00:15:56,00:15:58,0.152,LNT
00:15:59,00:16:01,0.098,LNT
00:16:02,00:16:04,0.227,LNT
00:16:06,00:16:08,0.438,LNT
00:16:09,00:16:11,0.188,LNT
00:16:12,00:16:14,0.016,LNT
00:16:16,00:16:18,0.184,Noise
00:16:19,00:16:21,0.02,Noise
00:16:22,00:16:24,0.008,Noise
00:16:26,00:16:28,0.023,Noise
00:16:29,00:16:31,0.062,Noise
00:16:32,00:16:34,0.125,Noise
00:16:36,00:16:38,0.098,Noise
00:16:39,00:16:41,0.047,Noise
00:16:42,00:16:44,0.016,Noise
00:16:46,00:16:48,0.004,Noise
00:16:49,00:16:51,0.035,Noise
